Role,Skill,Roadmap_Steps
Business Analyst,Machine Learning,"[""Week 1: Introduction to Machine Learning Fundamentals & Setup for Business Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Machine Learning"", ""Week 3: Advanced Machine Learning Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Machine Learning""]"
Full Stack Developer,Excel,"[""Week 1: Introduction to Excel Fundamentals & Setup for Full Stack Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Excel"", ""Week 3: Advanced Excel Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Excel""]"
Digital Marketer,Jenkins,"[""Week 1: Introduction to Jenkins Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Jenkins"", ""Week 3: Advanced Jenkins Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Jenkins""]"
Sales Executive,CSS,"[""Week 1: Introduction to CSS Fundamentals & Setup for Sales Executive"", ""Week 2: Core Concepts, Syntax, and Basic Projects in CSS"", ""Week 3: Advanced CSS Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using CSS""]"
Software Engineer,Natural Language Processing,"[""Week 1: Introduction to Natural Language Processing Fundamentals & Setup for Software Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Natural Language Processing"", ""Week 3: Advanced Natural Language Processing Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Natural Language Processing""]"
SEO Specialist,Cybersecurity,"[""Week 1: Introduction to Cybersecurity Fundamentals & Setup for SEO Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Cybersecurity"", ""Week 3: Advanced Cybersecurity Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Cybersecurity""]"
Operations Manager,Confluence,"[""Week 1: Introduction to Confluence Fundamentals & Setup for Operations Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Confluence"", ""Week 3: Advanced Confluence Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Confluence""]"
QA Engineer,Adobe XD,"[""Week 1: Introduction to Adobe XD Fundamentals & Setup for QA Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Adobe XD"", ""Week 3: Advanced Adobe XD Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Adobe XD""]"
Network Engineer,Redis,"[""Week 1: Introduction to Redis Fundamentals & Setup for Network Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Redis"", ""Week 3: Advanced Redis Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Redis""]"
Business Analyst,Google Cloud,"[""Week 1: Introduction to Google Cloud Fundamentals & Setup for Business Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Google Cloud"", ""Week 3: Advanced Google Cloud Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Google Cloud""]"
Security Analyst,Jenkins,"[""Week 1: Introduction to Jenkins Fundamentals & Setup for Security Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Jenkins"", ""Week 3: Advanced Jenkins Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Jenkins""]"
Financial Analyst,Docker,"[""Week 1: Introduction to Docker Fundamentals & Setup for Financial Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Docker"", ""Week 3: Advanced Docker Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Docker""]"
QA Engineer,Penetration Testing,"[""Week 1: Introduction to Penetration Testing Fundamentals & Setup for QA Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Penetration Testing"", ""Week 3: Advanced Penetration Testing Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Penetration Testing""]"
DevOps Engineer,Jira,"[""Week 1: Introduction to Jira Fundamentals & Setup for DevOps Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Jira"", ""Week 3: Advanced Jira Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Jira""]"
Marketing Specialist,Tableau,"[""Week 1: Introduction to Tableau Fundamentals & Setup for Marketing Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Tableau"", ""Week 3: Advanced Tableau Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Tableau""]"
Full Stack Developer,Smart Contracts,"[""Week 1: Introduction to Smart Contracts Fundamentals & Setup for Full Stack Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Smart Contracts"", ""Week 3: Advanced Smart Contracts Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Smart Contracts""]"
Full Stack Developer,AWS,"[""Week 1: Introduction to AWS Fundamentals & Setup for Full Stack Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in AWS"", ""Week 3: Advanced AWS Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using AWS""]"
Blockchain Developer,TypeScript,"[""Week 1: Introduction to TypeScript Fundamentals & Setup for Blockchain Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in TypeScript"", ""Week 3: Advanced TypeScript Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using TypeScript""]"
Digital Marketer,Solidity,"[""Week 1: Introduction to Solidity Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Solidity"", ""Week 3: Advanced Solidity Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Solidity""]"
HR Manager,Bitbucket,"[""Week 1: Introduction to Bitbucket Fundamentals & Setup for HR Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Bitbucket"", ""Week 3: Advanced Bitbucket Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Bitbucket""]"
Content Creator,Swift,"[""Week 1: Introduction to Swift Fundamentals & Setup for Content Creator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Swift"", ""Week 3: Advanced Swift Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Swift""]"
HR Manager,Penetration Testing,"[""Week 1: Introduction to Penetration Testing Fundamentals & Setup for HR Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Penetration Testing"", ""Week 3: Advanced Penetration Testing Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Penetration Testing""]"
Customer Success Manager,Sketch,"[""Week 1: Introduction to Sketch Fundamentals & Setup for Customer Success Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Sketch"", ""Week 3: Advanced Sketch Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Sketch""]"
Content Creator,Jira,"[""Week 1: Introduction to Jira Fundamentals & Setup for Content Creator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Jira"", ""Week 3: Advanced Jira Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Jira""]"
AI Researcher,Azure,"[""Week 1: Introduction to Azure Fundamentals & Setup for AI Researcher"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Azure"", ""Week 3: Advanced Azure Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Azure""]"
Digital Marketer,Git,"[""Week 1: Introduction to Git Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Git"", ""Week 3: Advanced Git Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Git""]"
Full Stack Developer,Vue.js,"[""Week 1: Introduction to Vue.js Fundamentals & Setup for Full Stack Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Vue.js"", ""Week 3: Advanced Vue.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Vue.js""]"
DevOps Engineer,AWS,"[""Week 1: Introduction to AWS Fundamentals & Setup for DevOps Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in AWS"", ""Week 3: Advanced AWS Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using AWS""]"
Blockchain Developer,Adobe XD,"[""Week 1: Introduction to Adobe XD Fundamentals & Setup for Blockchain Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Adobe XD"", ""Week 3: Advanced Adobe XD Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Adobe XD""]"
Backend Developer,Scrum,"[""Week 1: Introduction to Scrum Fundamentals & Setup for Backend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Scrum"", ""Week 3: Advanced Scrum Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Scrum""]"
Product Manager,C#,"[""Week 1: Introduction to C# Fundamentals & Setup for Product Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in C#"", ""Week 3: Advanced C# Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using C#""]"
System Administrator,TensorFlow,"[""Week 1: Introduction to TensorFlow Fundamentals & Setup for System Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in TensorFlow"", ""Week 3: Advanced TensorFlow Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using TensorFlow""]"
Network Engineer,Figma,"[""Week 1: Introduction to Figma Fundamentals & Setup for Network Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Figma"", ""Week 3: Advanced Figma Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Figma""]"
Graphic Designer,Rust,"[""Week 1: Introduction to Rust Fundamentals & Setup for Graphic Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Rust"", ""Week 3: Advanced Rust Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Rust""]"
Machine Learning Engineer,Git,"[""Week 1: Introduction to Git Fundamentals & Setup for Machine Learning Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Git"", ""Week 3: Advanced Git Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Git""]"
Marketing Specialist,C#,"[""Week 1: Introduction to C# Fundamentals & Setup for Marketing Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in C#"", ""Week 3: Advanced C# Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using C#""]"
Marketing Specialist,Flask,"[""Week 1: Introduction to Flask Fundamentals & Setup for Marketing Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Flask"", ""Week 3: Advanced Flask Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Flask""]"
AI Researcher,Adobe XD,"[""Week 1: Introduction to Adobe XD Fundamentals & Setup for AI Researcher"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Adobe XD"", ""Week 3: Advanced Adobe XD Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Adobe XD""]"
Data Analyst,Data Visualization,"[""Week 1: Introduction to Data Visualization Fundamentals & Setup for Data Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Data Visualization"", ""Week 3: Advanced Data Visualization Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Data Visualization""]"
HR Manager,Linux,"[""Week 1: Introduction to Linux Fundamentals & Setup for HR Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Linux"", ""Week 3: Advanced Linux Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Linux""]"
Marketing Specialist,GitHub,"[""Week 1: Introduction to GitHub Fundamentals & Setup for Marketing Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in GitHub"", ""Week 3: Advanced GitHub Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using GitHub""]"
Marketing Specialist,Penetration Testing,"[""Week 1: Introduction to Penetration Testing Fundamentals & Setup for Marketing Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Penetration Testing"", ""Week 3: Advanced Penetration Testing Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Penetration Testing""]"
Customer Success Manager,Git,"[""Week 1: Introduction to Git Fundamentals & Setup for Customer Success Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Git"", ""Week 3: Advanced Git Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Git""]"
Machine Learning Engineer,Data Analysis,"[""Week 1: Introduction to Data Analysis Fundamentals & Setup for Machine Learning Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Data Analysis"", ""Week 3: Advanced Data Analysis Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Data Analysis""]"
Data Scientist,Azure,"[""Week 1: Introduction to Azure Fundamentals & Setup for Data Scientist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Azure"", ""Week 3: Advanced Azure Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Azure""]"
Data Scientist,MacOS,"[""Week 1: Introduction to MacOS Fundamentals & Setup for Data Scientist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in MacOS"", ""Week 3: Advanced MacOS Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using MacOS""]"
